Year;Canton;GDP;Total expenditure;General administration;Executive and legislative organs;General services;Public order and security, defense;Public security;Administration of justice;Prison system;General legal issues;Fire protection services;Defense;Education;Obligatory schooling;Special schools;Basic vocational training;General education schools;Post-secondary vocational education;Tertiary-level institutions;Research;Other education;Culture, sport and leisure, church;Cultural heritage;Other culture;Media;Sporting and recreational services;Churches and religious services;Health;Hospital, convalescent and nursing home services;Outpatient care;Preventive healthcare;R&D health;Health n.e.c.;Social security;Sickness and accident;Disability;Old age and survivors;Family and young people;Unemployment;Subsidized housing;Social welfare and asylum affairs;R&D social welfare;Social welfare n.e.c.;Transportation and telecommunications;Road transportation;Public transportation;Other transportation;Telecommunications;Protection of the environment and spatial planning;Water supply;Sewage disposal;Waste management;Control structures;Protection of biodiversity and landscape;Anti-pollution;Other environmental protection;Spatial planning;National economy;Agriculture;Forestry;Hunting and fishing;Tourism;Industry, commerce and trade;Banks and insurance companies;Fuel and energy;Other commercial operations;Finances and taxes;Taxes;Tax agreements;Fiscal equalization and cost compensation;Other revenue shares without appropriation;Asset and debt management
2009;Uri;1787000;392844;27165;3209;23957;35319;22973;3208;998;3934;2199;2008;65347;19741;7651;12069;11255;1130;10172;0;3328;4901;1015;1870;0;1994;22;32898;28785;2395;627;0;1091;44183;14975;14106;8217;589;881;0;5409;0;7;84381;79141;5118;122;0;34181;0;4501;0;24595;1883;0;1749;1453;45541;31475;6335;1799;680;4100;0;1152;0;18927;263;0;10815;2786;5064
2010;Uri;1803000;400400;27637;3357;24280;37739;24293;3524;1043;3862;2140;2877;67950;21657;6803;12281;11826;1770;10461;0;3153;5284;600;2444;0;2217;22;34066;29197;2850;568;0;1450;43814;13127;14675;8306;487;1055;0;6164;0;0;76456;71341;4992;123;0;41632;0;3990;1500;30039;2215;398;2117;1374;47676;31821;5955;1633;602;6005;0;1661;0;18146;315;0;10878;2706;4247
2011;Uri;1871000;403998;31562;3147;28415;37802;25125;4008;1340;3821;1271;2236;68018;22111;6203;13206;11128;1973;10961;0;2436;4923;432;2397;0;2072;22;39165;34114;2935;598;0;1518;48392;15461;15330;9884;471;1042;0;6205;0;0;66578;61101;5350;127;0;43528;0;4142;0;31828;1809;2083;2074;1592;46399;32087;6008;1421;741;4297;0;1846;0;17631;220;0;10974;3334;3103
2012;Uri;1828000;404575;28053;3167;24886;39136;25112;4353;1795;4472;1241;2163;69992;20379;6770;16062;10877;2035;11223;0;2646;5651;1041;2203;45;2341;22;43493;37387;3350;528;0;2229;49932;15572;15316;10002;434;1156;0;7369;0;83;61547;56485;4906;156;0;43859;0;1531;0;32403;2126;4231;1958;1609;47782;31182;7343;1657;482;5618;0;1501;0;15130;248;0;9058;3307;2516
2013;Uri;1896000;398091;29142;3627;25515;40285;25056;4094;1439;6428;1069;2199;67883;20673;6884;14100;10627;2250;10748;0;2601;6102;1316;2341;48;2375;22;42611;36340;2935;562;0;2774;50148;15507;15824;10466;436;1039;0;6721;0;155;60592;55148;5227;217;0;38194;0;3061;0;26094;2157;3678;1766;1438;46356;31431;2354;3271;783;6943;0;1575;0;16777;359;0;9278;5059;2081
2014;Uri;1889000;391944;26801;2992;23809;40582;24934;4142;1835;6472;1092;2107;68789;21229;7341;13886;11346;2356;9934;0;2697;6076;1422;2235;65;2326;29;42899;36889;2886;536;0;2587;51322;14593;17006;10635;428;935;0;7590;0;136;61471;56013;5317;141;0;31085;0;1359;0;20380;2321;3928;1795;1301;47611;35909;2939;2383;784;3750;0;1846;0;15309;390;0;9041;4275;1602
2015;Uri;1935000;392284;27051;3090;23962;40781;25022;4313;1620;6518;1249;2059;72439;23222;7622;14827;11243;2458;10293;0;2775;6240;1539;2181;81;2417;22;47172;40674;3439;478;0;2581;52748;14854;17238;10430;384;958;0;8805;0;80;59109;52948;5929;233;0;27155;0;3042;0;13959;3514;3322;1677;1641;45553;35588;2485;2193;793;2360;0;2134;0;14035;342;0;8622;3807;1263
2016;Uri;1941000;412722;28056;3127;24929;40361;24748;4537;1425;6466;1224;1961;73795;22198;7963;16419;10739;2844;10777;0;2854;6254;1397;2336;37;2462;22;49187;41869;4436;508;0;2374;55921;15324;17264;10539;382;981;0;11342;0;90;62442;57093;5059;291;0;26585;0;1778;0;14017;2459;4913;1775;1643;55848;34766;2858;1568;797;13865;0;1994;0;14273;264;0;8529;4735;746
2017;Uri;1916000;433566;28316;3028;25288;41965;25895;4557;1742;6483;1184;2105;77285;21926;7520;20853;10754;2668;10891;0;2673;6596;889;2541;33;3110;22;57700;50431;4253;565;0;2452;60333;16187;17465;13616;362;984;0;11603;0;115;66025;61058;4712;255;0;25297;0;2960;0;12472;2917;3820;1776;1352;56319;34299;2625;1501;794;15882;0;1209;9;13729;214;0;8535;4359;621
2018;Uri;1983000;423994;28603;2881;25722;41632;25528;4582;1779;6464;1218;2062;71942;22398;8009;14916;10344;2086;11393;0;2796;7580;1175;2384;18;3981;22;54437;46926;4252;706;0;2553;57172;16584;17559;10794;346;958;0;10820;0;111;61642;56769;4633;241;0;25603;0;3542;0;11231;3448;4356;1729;1297;60628;34281;2851;1642;808;18141;0;2905;0;14754;285;0;8843;4122;1505
2019;Uri;2019000;428435;28828;2878;25950;41792;24773;4694;1674;6893;1117;2641;69861;22083;7395;15004;9973;1931;10685;0;2789;8758;1791;2354;48;4544;22;59284;51841;4162;721;0;2559;57714;16504;17836;11125;336;1035;0;10781;0;97;60812;55845;4750;217;0;22853;0;0;0;13274;2971;3557;1652;1399;63767;34529;2773;1606;922;19036;0;4901;0;14765;381;0;9552;4139;694
2020;Uri;0;455298;30450;2885;27565;41922;25314;4778;1510;6670;1061;2589;69640;21858;7597;14656;9943;1885;10881;0;2821;7994;1532;2860;80;3257;222;79998;71516;4258;1732;0;2492;58662;16512;18605;11188;304;1148;0;10750;0;155;71627;66406;5063;158;0;29164;0;13;0;18735;3484;3433;1599;1901;49937;33234;2814;1597;865;8628;0;2799;0;15903;493;0;9686;5022;702
1990;Valais;0;1476251;48562;3988;44574;126549;52344;15405;8982;18892;3363;27561;400165;213798;8355;75842;35677;29097;29648;0;7749;21306;11465;4750;294;4794;2;143965;124307;8;6024;0;13626;138671;15872;43132;38863;7071;2335;9822;21529;0;45;318856;302728;12247;3882;0;54229;0;14428;4003;30174;204;0;1116;4304;147022;86083;47000;3988;1477;704;0;7770;0;76926;3087;2033;15482;13337;42987
1991;Valais;0;1645106;54690;3611;51079;134094;58564;17582;10933;21187;4158;21671;434228;234749;9023;81175;40075;27526;33765;0;7914;24602;11439;7379;362;5421;0;173138;154814;0;9185;0;9138;163847;17120;48794;45545;12900;2633;7832;28934;0;90;325104;309428;12779;2896;0;114777;0;20093;20789;61962;0;0;1590;10343;139118;92873;30737;4493;1567;563;0;8886;0;81508;3596;2093;17241;11088;47491
1992;Valais;0;1680893;55423;3782;51641;139385;60507;18291;12580;20949;5280;21776;465100;251723;10084;87474;43512;23895;40405;0;8006;22169;10603;5505;46;6014;0;175103;154946;509;10068;0;9580;169658;18919;50256;49886;9476;2963;10283;27515;0;359;329494;313379;14222;1893;0;92670;0;17668;9007;57002;487;0;1364;7142;138426;91219;30389;4564;1635;1936;0;8683;0;93466;4177;2151;16589;10143;60407
1993;Valais;0;1846787;58519;3439;55080;149605;64231;20572;13906;22904;6097;21895;475473;258943;8100;89842;47444;22328;40803;0;8013;23770;12289;5334;84;6063;0;183679;163128;487;10737;0;9327;248967;22392;55300;45913;12776;71983;10370;29823;0;409;356013;339201;15174;1638;0;99436;0;14931;16987;39083;446;0;1369;26620;148675;101525;30720;4632;1644;1139;0;9014;0;102651;7280;2171;18115;9865;65219
1994;Valais;0;1965160;59783;3345;56438;154807;61522;20868;14080;29305;5521;23511;479412;260203;8156;85354;50688;24169;42876;0;7965;23305;11394;5569;108;6235;0;184217;164497;412;10072;0;9236;224378;23101;58109;45693;11278;46038;10050;29837;0;272;444905;430122;13544;1238;0;143038;0;15712;13949;86755;529;0;1322;24770;146593;105078;24420;4744;1557;941;0;9854;0;104722;6536;1839;18115;8108;70124
1995;Valais;0;1807642;61654;3677;57977;143315;59035;21093;12993;23731;7279;19184;490038;265063;8664;74144;61054;25150;39434;0;16528;24996;9939;8320;128;6218;391;180828;162255;448;8365;0;9760;199604;27889;58873;46330;10322;12732;10921;32260;0;275;356486;336325;15437;4723;0;106348;0;21111;12138;45387;1086;0;994;25633;140538;99940;19724;4715;3442;2386;0;10332;0;103835;7152;1989;17924;8005;68765
1996;Valais;0;1930192;60664;4536;56128;146959;59328;21150;20029;23923;7028;15500;503322;271682;9077;85453;56077;25252;38414;0;17367;25194;9996;8137;68;6613;380;188458;168962;489;8967;0;10041;279996;94988;57222;35425;11411;41321;4161;34892;0;577;359526;318950;39473;1104;0;93544;0;21761;9117;26777;1402;0;985;33502;160867;118428;23139;4509;3122;2202;0;9468;0;111662;14767;2003;17924;6811;70158
1997;Valais;0;2003997;67678;4000;63679;155699;61403;22384;24066;25300;7069;15479;512095;270230;8452;90703;50224;33819;35857;0;22810;27011;14388;5574;121;6547;380;188389;169501;545;8485;0;9859;327486;102145;60839;39228;10704;67757;4119;42360;0;335;338048;300979;36196;873;0;109758;0;25173;9722;26697;728;0;1293;46145;171904;123525;24022;4543;3843;2620;0;13351;0;105929;8718;1941;18005;7361;69904
1998;Valais;0;1985778;63853;4476;59377;157166;63823;23190;17981;26695;7063;18414;524122;275798;9136;94647;57658;37176;27582;0;22125;29446;11503;8879;132;8531;400;200217;179759;757;8822;0;10879;331500;110841;63542;43289;12387;46517;3950;49997;0;977;263870;227232;35771;867;0;128244;0;36136;14641;39624;137;0;1284;36422;179138;120458;27722;4510;3653;3181;3620;15995;0;108223;9346;1750;18005;7799;71323
1999;Valais;0;2151617;80076;3803;76273;147252;65563;23436;14639;24731;7457;11426;535664;267561;8240;76789;77579;50487;39970;0;15039;39097;13267;17844;0;7986;0;202835;185799;3060;8873;0;5103;328198;121708;68264;50626;14915;7497;9801;55167;0;219;354805;329303;24882;620;0;128877;0;44515;11224;33877;1543;0;2597;35120;226089;170038;33445;4802;5020;933;3701;8149;0;108725;16260;1211;18105;8592;64557
2000;Valais;0;2269454;87696;4458;83238;151249;66706;24961;13693;25244;8129;12516;567525;277705;10204;105541;58591;58683;40489;0;16313;44728;16752;19546;0;8425;5;228074;209404;2704;10491;0;5475;323614;122240;68292;44560;14967;11622;10103;49602;0;2229;345210;317838;26102;1270;0;157810;38;31953;12385;71633;1329;0;2755;37718;251316;158181;21182;4975;4409;699;53784;8086;0;112233;11997;1208;18034;10576;70418
2001;Valais;0;2594340;83927;5454;78473;159376;66865;26734;14141;28367;10569;12700;611549;299961;10658;104403;65979;17522;98620;0;14405;44126;16990;17600;0;9186;350;220592;201078;2900;11909;0;4705;337698;123708;72357;47910;22567;9640;8470;50816;0;2230;402124;373538;26714;1871;0;231945;2086;24072;8740;148200;1169;0;3308;44369;383558;171175;38891;5020;4796;752;2980;159944;0;119447;10083;1341;17968;13425;76630
2002;Valais;0;2199648;86499;5499;81000;154868;67643;25736;14967;25961;9851;10710;543536;201285;9999;109134;67686;26190;113543;0;15698;41325;14844;18384;0;7947;150;249319;230133;4535;10212;0;4439;352247;129666;78182;50459;21859;8787;7846;53218;0;2230;320351;294510;23267;2574;0;129512;1216;26135;6557;35379;1774;0;4121;54329;201888;155705;25581;5273;5623;1080;0;8625;0;120103;10415;1363;17660;15766;74900
2003;Valais;0;2274415;89875;5133;84742;161625;74289;25806;16423;24839;8502;11766;588094;224542;9744;101778;75122;48193;110059;0;18656;43208;15869;19930;428;6961;20;268158;245753;7340;11413;0;3652;380217;131312;95150;52347;25199;11473;7790;56468;0;477;304912;280644;23285;983;0;117832;362;22393;3438;44584;1852;0;3501;41700;200500;152549;24580;5547;4874;1391;0;11559;0;119996;11291;1252;18194;18663;70597
2004;Valais;0;2336098;102479;5258;97220;159923;71872;27553;17205;25018;7918;10358;569041;211070;10475;96769;86493;40828;106472;0;16934;44918;16170;19706;757;8285;0;275760;258484;820;13291;0;3164;410526;133873;96291;47438;27363;30653;7439;58916;0;8552;315972;284741;28752;2479;0;99232;0;15984;2606;47377;2485;0;4019;26763;233121;148854;20277;5379;6197;1572;0;50842;0;125126;12419;1376;17939;19282;74109
2005;Valais;0;2270806;90089;4673;85417;164510;75537;27533;15789;29540;8476;7634;564219;197232;11063;94200;92116;1866;150550;0;17192;48634;17620;22164;165;8682;4;278150;260213;8;12751;0;5178;407521;135025;90663;54415;26460;29701;5257;63331;0;2669;321190;285537;28205;7449;0;86162;0;8629;2357;33982;2096;0;3742;35356;191946;145760;19093;5220;7502;1112;0;13259;0;118383;9277;0;29231;21542;58333
2006;Valais;0;2289994;95728;5016;90711;163610;76637;28307;17240;26713;8165;6548;584947;207610;10290;94649;98259;1467;153726;0;18947;48277;18719;20330;155;9067;6;288834;271125;4;12577;0;5128;429855;145206;97500;59610;26984;31416;4400;63523;0;1215;310114;265576;35347;9191;0;91742;0;7929;3186;40351;2885;0;3895;33497;179413;143839;16291;5182;6877;1411;0;5812;0;97475;10907;0;17472;24072;45025
2007;Valais;0;2465402;110240;5270;104969;169128;78257;29184;17386;29160;9313;5829;623754;217014;10299;100684;101478;1702;173003;0;19574;51279;17101;23361;535;10279;3;312484;279473;0;13396;0;19615;464115;153988;118218;62736;28319;30593;4421;65530;0;310;349238;311724;26230;11284;0;106108;0;8435;1807;46952;2887;0;3910;42116;181177;143704;18022;5422;5535;1282;0;7211;0;97880;11361;0;18247;34152;34121
2008;Valais;16307000;2628061;123599;6441;117158;183122;83530;30620;18856;34880;8097;7139;638162;224599;28665;104095;87746;17113;156712;300;18931;52318;16297;25433;420;10168;0;324795;291640;12615;13880;0;6661;465964;157031;120753;41604;38468;24279;0;80690;0;3138;437484;373486;42855;21144;0;78219;0;6376;3063;53011;2974;4554;2128;6112;218419;141676;24150;5516;5319;35561;0;6197;0;105980;12606;0;25660;37796;29918
2009;Valais;16705000;2766781;144899;6284;138615;206600;93920;34838;19635;42815;8221;7172;674454;234403;31031;110875;95629;16765;166540;0;19211;59310;18581;28188;360;12182;0;339080;303849;14609;14694;0;5928;488127;159945;120694;44202;42573;30164;0;87185;0;3363;429435;361522;46786;21126;0;97415;0;8899;1936;66356;3812;4812;3306;8295;233721;145386;28398;5696;6549;39700;0;7992;0;93742;11917;0;21842;34831;25152
2010;Valais;17223000;3150602;444200;6829;437370;208004;91528;34758;19491;44543;9955;7728;684759;234176;31706;119473;92527;18131;169273;0;19474;60559;19211;28698;274;12256;120;342850;307504;14516;15393;0;5437;529081;171664;132323;45885;47318;30675;3;98265;0;2948;433404;367916;46283;19205;0;96558;0;8036;1823;65543;5903;4516;2389;8348;254805;155593;28186;5844;6625;45568;0;12990;0;96383;13998;0;21292;37459;23634
2011;Valais;17439000;2991863;131289;7571;123718;224884;97102;37303;21882;52263;9922;6411;745503;254752;28445;132085;93291;19322;197351;0;20257;61674;17938;30899;445;11552;840;372343;333462;16678;16381;0;5821;555199;184226;139176;50045;49919;30415;70;100475;0;871;425567;356951;49323;19293;0;114880;0;10108;1281;77232;6516;9660;2769;7314;256422;151480;27723;6005;4842;51451;0;14920;0;104102;12661;0;21217;49148;21077
2012;Valais;17447000;3774926;700529;6984;693545;238432;95782;38015;23103;56906;12993;11633;820462;347216;31643;123975;90963;19024;187752;0;19889;65312;16566;33341;927;12988;1490;409809;358760;30057;14351;0;6642;587969;190858;133858;55291;53319;31968;109;122060;0;507;434818;362217;53384;19218;0;94353;0;8508;237;60953;5017;10072;2737;6829;266199;154847;25952;5845;5707;58207;0;15641;0;157042;14261;0;58266;42966;41548
2013;Valais;17686000;3311178;151573;7148;144425;249550;104456;39727;24931;58215;12021;10200;853710;364845;33640;130330;102499;16746;180248;0;25402;67950;17195;35406;102;13296;1951;432109;379974;35018;12384;0;4732;611303;197498;141727;56645;54143;30169;1300;129064;0;758;437978;360502;56446;21030;0;84940;0;8642;0;50679;5198;10008;2494;7919;266178;151967;26154;5757;3908;62038;0;16353;0;155888;15034;0;60738;43892;36225
2014;Valais;17870000;3351397;138418;7854;130564;246685;98771;40367;27792;59135;10885;9735;838612;353118;33475;121733;84703;28108;194260;0;23214;74363;18967;41092;138;12763;1403;432710;376851;35415;15774;0;4670;620343;182949;146005;58153;57811;31007;0;143895;0;523;461921;382448;56316;23157;0;78672;0;8964;0;46203;5242;9720;2193;6350;285224;167315;26376;5704;7169;63624;0;15037;0;174450;16899;0;64117;54739;38695
2015;Valais;18221000;3367546;141820;9124;132696;244747;98150;41287;29514;51489;13420;10886;889112;338258;32615;119280;98553;51932;224958;0;23516;67588;15607;36094;744;13700;1443;418626;359298;38949;15574;0;4806;611791;160099;153008;56701;60547;32737;77;148122;0;500;436143;362114;62368;11662;0;81920;0;9562;0;50055;5304;7691;2340;6968;292774;172883;26223;5922;11804;62259;0;13683;0;183025;16939;0;66255;67988;31844
2016;Valais;18303000;3406916;145929;6990;138939;240871;96932;41732;28156;51466;12484;10102;901605;351612;30163;132431;97122;33383;232474;0;24420;56920;14597;26960;283;13080;2000;440118;373913;44849;14754;0;6602;633410;163790;152329;58648;62293;33092;0;162758;0;500;376759;304143;63125;9491;0;88313;0;7108;0;58408;6045;8427;2434;5890;347858;171327;24021;6066;21249;54624;59613;10957;0;175133;20206;0;66779;56981;31167
2017;Valais;18539000;3502632;168023;7518;160504;252139;97581;42262;30164;55259;16283;10590;954377;372475;33676;145489;99216;28974;250499;0;24047;59912;15811;28904;736;13454;1008;462160;388852;51649;15068;0;6591;671939;170407;187884;64740;62463;31683;0;154261;0;500;368191;292339;63358;12495;0;97901;0;9116;0;65986;6055;8157;2347;6241;292318;174418;23669;6370;18946;57357;49;11508;0;175671;15719;0;63796;61904;34253
2018;Valais;19512000;3694678;257810;7998;249811;251737;100660;47054;31854;49775;9087;13307;951802;346519;34935;137121;100246;18672;288008;81;26219;62788;15563;29358;1004;15365;1498;475332;399024;54100;16873;0;5335;696841;179815;171536;65941;65958;31367;0;176837;0;5387;380582;305814;65604;9165;0;99576;0;5959;0;71586;5776;9222;633;6401;306053;184266;25691;6781;34029;36279;0;18997;10;212158;21877;0;64973;94764;30543
2019;Valais;20016000;3968720;495537;9228;486309;263483;101298;49587;32900;50642;13750;15307;938327;344111;37069;130851;97858;14746;284021;3301;26370;70877;21265;28556;761;18350;1945;493249;408985;58213;17738;0;8313;706643;185730;180294;64147;70734;35148;0;170054;0;537;409991;334980;64958;10052;0;93969;0;6828;0;65285;7630;7551;761;5914;306399;185785;24542;6688;27023;37738;0;24622;0;190246;20963;0;66499;70604;32180
2020;Valais;0;4263772;382513;9931;372582;269653;105102;51084;35732;53182;11591;12961;1021076;356608;42955;128426;99042;15289;348546;3245;26966;76830;19697;35982;608;18215;2328;552553;457327;62471;26728;0;6027;786420;211268;223124;66527;82275;31049;0;171641;0;535;448633;371754;66994;9886;0;114263;0;6825;0;82261;9546;8286;657;6688;366678;188787;30343;6451;43318;71148;0;26621;9;245153;23208;0;68025;78781;75139
1990;Vaud;0;3990450;157203;5523;151680;324856;126465;47747;49505;52397;166;48575;1177611;564606;45826;159381;85471;24406;273760;0;24161;114487;22114;24901;1294;11703;54475;893418;847879;50;14960;0;30529;605206;86045;112583;229456;59884;8374;25539;82736;0;589;292671;188986;100256;3428;0;58490;243;27475;1364;18695;1642;0;0;9072;201531;109058;40394;5061;8379;5717;28104;1084;3733;164977;0;0;1000;88509;75468
1991;Vaud;0;4339466;170333;6283;164050;353533;136661;62194;51037;54280;162;49199;1337909;612702;52435;194450;87790;29795;333331;0;27405;128305;28793;29470;664;9702;59677;1004356;956374;22528;13153;0;12301;638566;87544;125091;253093;68352;12624;16198;75147;0;517;307697;225554;76453;5689;0;90337;773;54141;426;16316;1598;0;4741;12343;187777;117691;41802;6515;9425;3994;1572;1989;4788;120654;0;0;1000;48415;71239
1992;Vaud;0;4448354;184573;5194;179379;358634;138576;58565;55385;61469;0;44640;1399790;632978;52089;215032;124107;29786;332156;0;13643;119819;24901;28083;386;6723;59726;904424;849045;27322;16367;0;11689;721447;77605;145190;290488;76288;23219;19047;88627;0;984;286432;208366;77260;806;0;113633;0;49211;7092;16141;712;0;4932;35545;191248;117640;36810;4119;9997;9291;7667;1948;3776;168353;17826;0;1000;44045;105482
1993;Vaud;0;4940888;188127;6104;182023;351934;133334;62983;47319;63007;0;45292;1434366;652631;53292;211788;116968;33337;351526;0;14825;125454;30884;29019;1046;7062;57443;875541;821889;27168;15859;0;10625;1030079;80484;156597;308954;75856;291375;19811;96059;0;943;369655;272204;95054;2397;0;126215;0;58731;6493;19726;1039;0;4417;35810;199936;130566;36591;3921;10648;12348;0;1670;4192;239580;21992;0;1000;41638;174950
1994;Vaud;0;5048091;198128;5981;192148;355229;134668;70569;46651;64130;0;39211;1446272;651183;52258;225446;121964;34242;344115;0;17065;121115;26178;27331;600;6764;60241;879064;824293;23290;16363;0;15118;982627;101192;181294;308992;72803;192054;17457;108084;0;750;411126;329340;79341;2445;0;121307;0;53475;9979;21885;1016;0;4706;30247;246981;167992;40441;4234;10769;15458;0;3320;4768;286241;24426;0;1000;42886;217930
1995;Vaud;0;5087384;212289;6796;205492;366740;137266;70764;53370;66791;0;38549;1381022;656964;51629;222954;118411;33835;283090;0;14138;123877;30250;27936;310;6662;58720;952526;898480;23494;16879;0;13672;839269;79981;184181;274248;72311;66608;19013;142117;0;810;468123;373349;92167;2608;0;108484;0;43303;11443;25492;1074;0;4326;22846;308904;183888;39138;3880;10694;21902;41295;2297;5809;326149;26020;0;1000;41660;257470
1996;Vaud;0;5169212;200097;6817;193280;369025;147501;73791;52686;66347;0;28700;1367136;651515;48507;224907;119073;36576;272343;0;14216;133111;28972;33356;1189;6581;63013;892966;840497;20807;20955;0;10706;1036575;218853;174165;247007;70403;178903;18989;127371;0;884;436682;348172;85746;2764;0;89178;0;25904;9730;24704;979;0;4011;23850;301969;213971;37797;3914;10762;27557;0;2117;5851;342472;28605;0;1000;45151;267717
1997;Vaud;0;5433905;204173;7224;196949;351935;145157;77555;55260;68830;0;5133;1393119;679120;53647;224529;107863;35429;275135;0;17396;132809;27338;32961;1360;6956;64195;936764;870086;30061;20803;0;15813;1226675;257448;190344;264612;69831;291657;19034;133000;0;750;435052;346681;86122;2248;0;90208;0;23140;11372;28646;2152;0;3800;21098;310268;233071;35437;3989;10855;18381;0;2952;5583;352902;32888;0;1000;38057;280957
1998;Vaud;0;5497557;223643;7381;216263;387489;152745;76950;62658;71486;0;23649;1417043;679292;51889;257620;105620;70017;233589;0;19016;132365;27404;34485;1138;6425;62913;939168;869659;34438;19359;0;15712;1221497;294539;206596;270360;64690;250487;18598;115479;0;747;372248;278703;90051;3494;0;94844;0;25400;6933;30969;2112;0;4560;24869;342059;237045;37576;4323;8779;45972;3991;4372;0;367203;37884;0;4817;40687;283814
1999;Vaud;0;5771867;244357;7639;236718;393607;148041;75785;64769;84621;0;20391;1454155;681851;53992;230888;105766;127221;234743;0;19694;135812;31290;34767;865;6913;61977;984397;912891;21503;22414;0;27588;1184771;308444;213018;304902;69403;138297;22678;127304;0;725;367324;278794;86542;1988;0;87867;0;22539;9054;24970;2322;0;4743;24240;531141;224041;40960;6153;8727;10278;236926;3237;819;388436;58336;0;1000;43073;286027
2000;Vaud;0;5865516;245523;8444;237079;396660;145219;80896;66475;85770;0;18300;1530574;698866;59779;225722;130017;113256;280288;0;22645;125031;25522;32481;935;4969;61124;1028470;923541;38899;23551;0;42480;1214705;305948;230829;310154;74943;122516;16432;153160;0;724;384462;300663;79641;4159;0;80154;0;23111;5429;24674;5154;0;4015;17771;401733;234187;133956;4475;8608;13881;4186;2341;99;458203;73920;0;1000;45832;337450
2001;Vaud;0;6176383;283206;9687;273518;414135;148434;76983;72896;99528;0;16295;1674303;754153;103586;247934;145754;49425;347322;0;26130;136708;26274;35700;1164;11055;62515;1120845;1023194;45442;25232;0;26976;1367525;311712;246009;325683;80575;86263;15199;301375;0;710;360828;264498;92568;3762;0;81515;0;21603;5149;26607;3857;0;3936;20364;333582;263962;38254;4050;9082;14687;0;3548;0;403736;36041;0;0;43578;324117
2002;Vaud;0;6699547;287418;10923;276495;435203;156444;82111;80018;101355;0;15275;1793133;771702;110612;286007;136318;62389;392843;0;33263;134040;24230;35323;2465;11399;60623;1181460;1078113;46667;27380;0;29301;1382063;314526;260745;355129;87325;77076;14508;271906;0;848;332973;243298;85339;4336;0;92088;0;18254;7240;21307;11634;0;4114;29539;689062;273869;34903;3991;6663;11086;355416;3134;0;372108;40819;0;0;48377;282913
2003;Vaud;0;6591655;295960;9373;286587;470130;175481;86269;84376;106964;0;17040;1848381;780685;119058;226702;151578;49706;483617;0;37035;136056;22997;38349;2367;10695;61649;1297529;1146277;50619;55805;0;44829;1366899;316612;276164;324807;86516;84474;13472;264615;0;238;345942;253423;87602;4916;0;95070;0;13960;20426;24119;3535;0;4012;29017;364209;281753;47234;3796;9030;19326;0;3070;0;371479;38690;0;0;44901;287888
2004;Vaud;0;6762259;288376;11661;276715;477560;168318;103810;83042;108788;0;13601;1848356;798511;96204;201463;173209;15393;525659;0;37916;135620;24064;39384;3145;8966;60061;1379074;1237602;66110;35080;0;40283;1404199;324480;294503;280685;94285;77493;12305;320219;0;229;396811;266501;125707;4603;0;100906;0;15186;32006;18515;6986;0;3784;24428;340192;273550;34701;3798;9306;15357;0;3480;0;391166;32262;0;0;57725;301178
2005;Vaud;0;6925271;285527;10832;274695;471768;169729;97746;78471;113163;0;12659;1851020;773458;96212;195459;192341;6855;550106;0;36588;139512;28669;38632;4103;10723;57385;1396849;1243374;67074;39783;0;46618;1472584;323387;302102;274413;94242;98290;13467;366469;0;214;437022;245585;187045;4392;0;151202;0;33036;62064;20169;4659;0;3610;27664;352008;275066;30144;3834;9493;31043;0;2427;0;367779;36582;0;0;63631;267565
2006;Vaud;0;7040970;308553;10911;297642;480982;169811;119270;82306;96667;0;12926;1842897;775123;97515;191407;182874;5570;553916;0;36491;135857;29321;37955;2612;11440;54529;1416548;1273233;67036;38518;0;37761;1535462;344439;303245;275272;94195;86065;12079;419763;0;403;447590;189930;252483;5176;0;105136;0;17294;36904;20272;6911;0;3792;19964;338136;274464;27140;3942;11393;17699;0;3496;0;429809;121528;0;0;71021;237260
2007;Vaud;0;7157374;371728;10730;360998;485070;174540;118978;80463;99293;0;11796;1876291;778817;101852;202479;185788;6395;564850;0;36111;139030;28132;40873;2314;10880;56832;1559210;1416807;66121;40537;0;35745;1627297;326509;371927;284152;101532;84353;9146;449478;0;200;320150;168608;119667;31876;0;70010;0;15430;1832;26690;6195;0;3841;16022;356968;287870;34178;4075;9698;15415;0;5732;0;351620;55996;0;0;89568;206055
2008;Vaud;46858000;6891149;321982;10503;311479;521832;180886;139120;78605;108946;0;14275;2160634;820492;180336;213776;190895;12686;588757;113877;39816;137453;20269;40830;3383;14431;58539;1106750;824705;108342;36438;112780;24485;1565880;340636;303964;202118;128832;79601;9031;501274;0;424;282307;112017;163861;6428;0;66711;0;8844;1694;23264;9614;1819;5033;16443;364806;274096;30616;5631;100;51479;0;2883;0;362795;41961;0;65577;80726;174532
2009;Vaud;46871000;7409558;348293;10917;337377;532752;186196;133694;91343;106337;0;15182;2303524;859602;192465;229895;198289;13262;641136;124329;44546;141617;19273;45277;1493;14824;60750;1292178;985933;117363;40624;118952;29306;1677638;364487;326941;213448;144601;83733;8759;535244;0;425;314319;117582;189434;7303;0;84261;0;7726;3435;24012;13271;8811;4860;22146;392260;305627;31155;5933;0;46983;0;2562;0;322716;67065;0;25225;104455;125971
