Year;Canton;GDP;Total expenditure;General administration;Executive and legislative organs;General services;Public order and security, defense;Public security;Administration of justice;Prison system;General legal issues;Fire protection services;Defense;Education;Obligatory schooling;Special schools;Basic vocational training;General education schools;Post-secondary vocational education;Tertiary-level institutions;Research;Other education;Culture, sport and leisure, church;Cultural heritage;Other culture;Media;Sporting and recreational services;Churches and religious services;R&D culture, sport and leisure, church;Health;Hospital, convalescent and nursing home services;Outpatient care;Preventive healthcare;R&D health;Health n.e.c.;Social security;Sickness and accident;Disability;Old age and survivors;Family and young people;Unemployment;Subsidized housing;Social welfare and asylum affairs;R&D social welfare;Social welfare n.e.c.;Transportation and telecommunications;Road transportation;Public transportation;Other transportation;Telecommunications;Protection of the environment and spatial planning;Water supply;Sewage disposal;Waste management;Control structures;Protection of biodiversity and landscape;Anti-pollution;Other environmental protection;Spatial planning;National economy;Agriculture;Forestry;Hunting and fishing;Tourism;Industry, commerce and trade;Banks and insurance companies;Fuel and energy;Other commercial operations;Finances and taxes;Taxes;Tax agreements;Fiscal equalization and cost compensation;Other revenue shares without appropriation;Asset and debt management
2013;Schaffhausen;7029000;675948;45661;2839;42797;83739;36217;13192;7556;15983;6770;4020;150131;44241;22629;35503;19960;2449;23887;0;1463;11561;4287;1809;15;1413;4036;0;104995;96362;215;7432;0;986;150993;40393;44095;31003;1250;10381;0;23701;0;170;52708;23919;28788;0;0;6384;0;0;123;1704;506;2187;35;1828;52594;39338;3135;172;544;6161;0;3243;0;17185;2392;0;8377;4512;1904
2014;Schaffhausen;6990000;691265;41824;2802;38997;86815;36771;14728;8332;15385;7262;4336;152046;44915;22603;35289;19622;2374;25630;0;1614;14111;7070;1487;21;1493;4040;0;108999;100115;228;7664;0;993;159884;42744;44116;33534;1297;11216;0;26818;0;160;51463;17485;33978;0;0;6754;0;0;160;1638;462;2895;34;1564;50720;38753;3178;140;485;5525;0;2639;0;18648;1866;0;10433;4616;1733
2015;Schaffhausen;7031000;675988;41157;2763;38369;83930;35938;14099;9024;14535;6286;4048;151825;46696;22179;34408;19044;2533;25424;0;1541;9803;3066;1475;50;1511;3700;0;108791;100203;227;7309;0;1052;169184;46989;44421;34074;1236;11739;0;30555;0;170;40808;13943;26865;0;0;5572;0;0;180;2134;482;1209;36;1531;49540;38231;3740;170;567;5016;0;1818;0;15377;721;0;7980;4725;1950
2016;Schaffhausen;7201000;696098;43165;2829;40311;83729;36634;14284;10036;14491;4540;3743;151884;48052;21708;33355;18670;2694;25840;0;1566;10422;3295;1653;50;1775;3648;0;122848;113876;216;7817;0;939;179642;50865;44338;35805;1418;13350;0;33706;0;160;36831;15974;20856;0;0;5949;0;0;201;1606;491;1944;38;1669;47492;39015;2958;166;332;5020;0;0;0;14137;2006;0;5715;4684;1732
2017;Schaffhausen;7179000;690801;41379;2700;38654;84601;34846;17269;10487;14894;3821;3284;151024;44214;22195;34252;20254;2567;25974;0;1567;10057;2815;1672;50;1883;3637;0;105128;96325;271;7456;0;1077;188201;56290;44711;37044;1424;13739;0;34823;0;170;40543;20413;20130;0;0;5444;0;0;199;1768;422;1403;33;1620;49040;38856;3306;180;315;6069;0;313;0;15384;2346;0;6460;4700;1878
2018;Schaffhausen;7458000;702605;40235;2715;37495;87950;39858;16194;10991;14738;3184;2986;149030;43960;21990;33440;17374;4698;25391;0;2176;9537;2858;1123;0;1876;3680;0;114603;102665;4787;5431;0;1720;180184;58542;44923;24994;3854;11722;0;35935;0;214;38116;19088;19027;0;0;7643;0;0;36;1684;1018;1393;2255;1251;61279;38654;3056;338;850;6975;10000;1256;150;14029;2152;0;4007;4187;3684
2019;Schaffhausen;7583000;713307;40273;2913;37335;83351;36429;16030;10373;14893;2654;2973;151970;44539;21846;34887;18028;4661;25736;0;2271;8226;2022;786;0;1706;3711;0;122498;110226;5143;5394;0;1734;185110;58964;45337;26289;4000;11484;0;38819;0;217;41751;19874;21877;0;0;8395;0;0;36;2196;1234;1430;2355;1137;57103;39667;4034;344;787;4730;5000;2300;241;14630;2618;0;3548;4354;4110
2008;Appenzell_A;2956000;399529;30927;3859;27067;30315;15250;4546;5413;2681;0;2424;83456;18734;9941;16386;19291;136;15157;0;3812;4733;1511;2304;29;889;0;0;50069;47351;823;1105;0;789;63956;23824;21149;11754;1026;1610;271;4218;0;105;56457;47659;8798;0;0;13563;402;199;0;7008;5;38;4402;1510;44699;39235;2376;251;761;2076;0;0;0;21354;0;0;10970;8330;2055
2009;Appenzell_A;2854000;423765;32343;4352;27991;33085;16312;4721;5587;2761;0;3704;87874;26512;10574;18863;11325;128;16270;0;4203;5873;1855;2816;0;1203;0;0;59546;55997;941;1103;0;1505;68419;24868;21634;12577;1145;1882;120;6063;0;130;54706;44976;9730;0;0;12075;0;341;0;4779;0;56;5295;1604;47357;42905;1484;204;761;2003;0;0;0;22488;0;0;10242;10516;1731
2010;Appenzell_A;2990000;421790;31049;3416;27634;35748;18256;4912;5763;3168;0;3650;88265;19146;11575;18365;17956;122;17244;0;3856;4712;1708;2308;0;696;0;0;57210;53411;915;1148;0;1736;71950;24351;24484;13080;1121;2111;132;6529;0;142;50299;40295;9930;74;0;9799;0;154;0;4806;641;295;2687;1215;48315;41514;2349;206;902;2048;0;1296;0;24442;0;0;9677;12984;1781
2011;Appenzell_A;3045000;455053;34079;3589;30491;42524;17968;5658;6122;3245;0;9531;94372;20724;12038;19481;20049;79;18116;0;3885;6802;1547;4228;0;1027;0;0;66719;62586;1015;1130;0;1988;74119;26358;24113;12556;1107;2143;0;7680;0;163;51415;40610;10806;0;0;11044;0;239;0;5169;391;1221;2616;1407;53665;41466;2004;223;1020;3956;0;4996;0;20314;0;0;9566;9015;1733
2012;Appenzell_A;3039000;536950;33334;2732;30602;48050;17211;6452;5995;3303;0;15088;94455;19031;12153;19753;19686;73;19814;0;3945;7458;2121;4366;0;971;0;0;138605;134239;999;1131;0;2236;80289;27052;27156;13067;1787;2172;0;8900;0;156;49621;39346;10275;0;0;15352;0;156;0;5765;482;3934;2653;2362;46870;41191;1969;221;1052;2436;0;1;0;22915;0;0;9950;11282;1684
2013;Appenzell_A;3156000;451018;49463;2844;46619;36734;17116;6444;5831;4728;0;2615;89277;22323;10988;19182;14747;2165;16481;0;3392;6884;1192;4603;0;1089;0;0;56327;51364;844;1128;0;2992;82250;28108;28018;13938;794;2221;0;9170;0;0;41066;29841;11225;0;0;14996;0;125;87;5495;937;3951;2445;1957;45545;40996;1881;314;993;1361;0;0;0;28476;539;0;10106;15871;1960
2014;Appenzell_A;3207000;453053;37999;2598;35401;36868;16766;6454;5707;5044;0;2896;89426;21582;10992;18525;15024;2468;17713;0;3123;6673;1365;4252;1;1056;0;0;64276;59247;1086;1123;0;2820;84061;29232;28703;13983;1193;2351;0;8428;0;170;43553;27501;16052;0;0;15862;0;1099;86;6561;834;3676;2380;1227;45604;40788;1981;291;1023;1431;0;0;90;28730;546;0;9536;16100;2548
2015;Appenzell_A;3107000;451630;36754;3336;33418;36481;16425;7175;5615;4964;0;2302;88652;20659;10591;18589;15071;3099;17622;0;3021;6729;1398;4411;0;920;0;0;58759;55265;95;1005;0;2395;86708;28374;28763;14973;1071;2411;0;10920;0;196;48387;31257;17130;0;0;12375;0;1390;61;4040;893;2178;2361;1451;47200;39504;3988;232;948;2529;0;0;0;29584;332;0;9911;16616;2725
2016;Appenzell_A;3135000;471260;39708;2574;37135;38851;18127;7153;6939;4320;0;2311;91476;20125;10606;18611;17148;3826;17933;0;3226;7278;1242;5128;0;907;0;0;61934;57737;51;719;0;3428;94479;30871;28767;15785;1067;2470;0;15372;0;147;47381;29330;18050;0;0;13340;0;2924;0;3689;603;2776;1929;1419;48063;43219;1923;267;949;1705;0;0;0;28750;0;0;10130;16511;2110
2017;Appenzell_A;3147000;476593;38652;2216;36436;39013;18256;7157;6998;4307;0;2295;90096;17453;10187;18375;19471;3680;17804;0;3127;6723;1181;4380;2;1160;0;0;72067;67788;37;667;0;3574;94351;29114;29607;16544;1055;2566;0;15338;0;126;48005;32016;15988;0;0;12231;0;2997;0;3760;731;1773;2023;947;47817;40582;2070;270;945;3940;0;0;10;27638;0;0;10674;15204;1760
2018;Appenzell_A;3259000;476033;36677;2251;34426;40894;19531;7926;6526;4579;0;2332;88205;17900;10412;17903;17968;3140;17954;0;2927;6336;895;4259;1;1181;0;0;69334;64708;29;717;0;3880;97683;29052;31606;16572;1040;2571;0;16694;0;147;41316;25889;15426;0;0;9587;0;839;0;2330;756;2843;1854;964;55156;41416;2074;286;945;1566;0;0;8869;30846;0;0;10710;18206;1930
2019;Appenzell_A;3312000;475686;34772;2514;32259;41766;19205;7735;7727;4782;0;2318;88264;17740;11107;18248;17912;2697;17688;0;2872;6739;1178;4443;0;1118;0;0;65922;61255;78;690;0;3898;100558;31390;30303;18143;1594;2668;0;16283;0;178;44546;29640;14906;0;0;8860;0;990;0;2282;894;1207;2551;937;48285;41567;2272;311;945;1577;0;1613;0;35973;0;0;10567;23642;1764
2008;Appenzell_I;854000;121391;10115;935;9180;9506;4589;1234;164;2938;0;581;25484;2353;3581;4211;9710;20;4100;0;1508;1860;185;1080;1;492;102;0;12506;10899;1188;361;0;58;17378;3901;4763;3445;889;370;0;4011;0;0;10050;8494;1547;9;0;1583;18;41;444;273;400;90;246;72;26881;24768;1001;41;772;6;0;264;28;6027;0;0;4271;204;1552
2009;Appenzell_I;838000;127714;10941;1103;9838;10096;4993;1391;34;3011;0;667;26196;2368;3072;4258;10145;623;4187;0;1541;1795;140;1033;0;516;105;0;12562;11069;1145;260;0;89;17761;4567;4541;3325;752;391;0;4186;0;0;12669;10809;1851;9;0;2345;15;135;468;592;690;125;256;64;28134;25728;867;48;817;270;0;374;31;5215;0;0;4501;211;503
2010;Appenzell_I;906000;132980;10945;1068;9877;10955;6019;1425;18;2897;0;596;28912;2416;2514;5118;12022;704;4559;0;1579;1945;191;1203;0;456;95;0;14681;12948;1296;307;0;130;19362;5458;4835;3334;799;338;0;4597;0;0;11634;9531;2095;8;0;1844;4;110;371;314;687;132;191;36;27985;25573;819;40;827;297;0;412;17;4716;0;0;4356;190;170
2011;Appenzell_I;929000;141252;11749;1102;10647;10214;5606;1365;62;2604;0;576;32116;2526;2392;5057;15115;700;4685;0;1642;2183;115;1218;0;732;118;0;16998;15387;1208;302;0;101;19505;5289;5007;3269;1135;336;0;4469;0;0;11735;9588;2139;9;0;3949;9;62;1394;1023;684;544;215;18;28083;26035;695;44;758;228;0;306;16;4721;0;0;4454;237;30
2012;Appenzell_I;937000;140781;11723;1142;10581;10532;5720;1409;113;2661;0;629;27538;2424;2461;4817;9864;895;5363;0;1713;2110;142;1245;0;604;118;0;19828;18092;1255;340;0;141;20992;5763;5452;3478;1081;400;0;4818;0;0;10846;8979;1852;14;0;4541;11;41;2110;869;712;684;97;17;28135;25964;731;40;842;236;0;320;3;4537;0;0;4240;236;61
2013;Appenzell_I;971000;143730;13645;1135;12510;10860;5499;1560;192;2979;0;630;27974;2557;2351;4839;10281;902;5275;0;1769;2531;253;1346;0;821;110;0;19848;18126;1287;289;0;147;21388;5954;5187;3332;1241;419;0;5255;0;0;10572;8173;2384;14;0;3744;8;37;1534;786;731;573;59;16;28616;26167;671;96;860;311;0;509;3;4552;0;0;4252;220;80
2014;Appenzell_I;1005000;151268;12687;1129;11558;10754;5513;1654;156;2783;0;648;27696;2385;2584;4770;9862;945;5332;0;1818;2130;258;925;0;837;111;0;30676;28642;1644;274;0;116;21069;5568;5268;3291;988;387;0;5568;0;0;10101;6985;3101;14;0;3337;16;0;788;708;673;869;266;16;28302;25950;905;64;866;308;0;207;3;4515;0;0;4246;223;47
2015;Appenzell_I;1004000;147061;11877;1129;10747;10850;5439;1652;100;2687;391;581;27508;2454;2527;4759;9499;1140;5450;0;1679;2281;291;1279;0;574;137;0;26712;24488;1789;270;0;165;22748;6247;5200;3418;801;397;0;6590;0;96;10184;6009;4160;15;0;3149;227;0;774;266;609;1258;0;15;27069;24193;985;230;997;292;0;370;3;4682;30;0;4249;273;130
2016;Appenzell_I;1021000;154274;12519;1159;11360;11143;5548;1471;76;2965;510;572;26706;2590;2262;4493;9170;1235;5132;0;1824;2454;279;1247;0;792;135;0;27944;25566;2024;271;0;83;23811;5854;5335;3672;771;372;0;7706;0;101;13963;8624;5324;15;0;3728;0;0;813;826;595;1480;0;13;27047;24389;1146;99;895;354;0;161;3;4960;60;0;4242;271;388
2017;Appenzell_I;1015000;146157;12927;1149;11778;11709;5641;1626;123;3093;598;627;27536;2894;2441;4459;9069;1222;5434;0;2018;2222;296;1325;0;437;165;0;21657;19090;2232;271;0;64;23965;6107;5524;4003;803;419;0;7090;0;19;10247;6477;3756;15;0;3747;447;0;798;1028;342;1120;0;12;27396;24697;820;79;987;635;0;175;3;4751;81;0;4172;331;167
2018;Appenzell_I;1049000;148605;13635;1188;12447;12353;5966;1761;202;3304;467;654;26721;2312;2254;4639;9108;1040;5381;0;1988;2580;235;1284;0;896;165;0;23680;20854;2462;298;0;66;23944;6429;5382;3693;798;406;0;7162;0;74;9731;6229;3492;10;0;3592;31;0;935;1129;367;1117;0;12;27677;24504;968;107;963;831;0;300;3;4692;87;0;4195;329;81
2019;Appenzell_I;1061000;156517;15643;1234;14409;12755;5943;1768;73;3395;699;877;26355;2528;2266;4704;8631;1097;5159;0;1970;3954;363;1242;0;2213;135;0;25491;22831;2245;302;0;112;24157;6528;5042;4253;873;495;0;6907;0;58;11974;8815;3149;10;0;4343;89;0;1059;1774;473;939;0;9;27031;23662;836;143;1020;739;0;630;1;4814;196;0;4299;271;49
2008;St_Gallen;34505000;3661955;228622;6605;222017;298868;136741;83691;48465;21094;0;8877;879853;21924;128605;221779;101629;22296;267317;83493;32810;79205;8474;35476;0;8709;26546;0;457611;419015;6866;18304;0;13427;619044;145878;239746;134172;21251;25379;0;52070;0;549;247121;168187;78725;209;0;60842;1483;2362;80;17123;16508;0;13722;9564;245510;210247;15678;2249;2810;7463;0;5234;1830;545280;8892;0;256403;251370;28614
2009;St_Gallen;33507000;3780802;219555;5877;213679;321631;145524;89571;56779;19875;0;9882;901550;22563;125479;230244;107823;17173;290470;73067;34731;76307;7259;34524;0;10338;24185;0;496766;452381;8724;24625;0;11036;662022;165286;244678;149071;17820;31163;0;53572;0;430;234950;147620;87101;228;0;77717;2268;6087;3652;21460;18958;7573;6828;10891;267743;223105;20345;3975;2929;11856;0;3636;1897;522561;10728;0;248565;239064;24204
2010;St_Gallen;34955000;3938529;231869;6115;225754;343081;156857;95386;62013;18966;0;9859;932724;25322;119728;236279;112625;17549;314347;74446;32428;87024;6736;47978;0;8826;23485;0;510741;469284;5387;24862;0;11209;704516;183733;250461;158542;19239;32435;0;59631;0;475;236256;140075;95916;265;0;64318;2052;3583;4284;18070;15407;2569;7032;11321;267118;223033;19643;2683;3060;9237;0;7239;2224;560881;12626;0;247933;277263;23058
2011;St_Gallen;35693000;4093435;260114;5562;254553;349583;155956;96833;65993;20447;0;10354;932595;24724;116070;223514;113273;20240;320209;76724;37841;88819;9024;40983;0;16336;22477;0;564269;518680;5356;24707;0;15526;736354;209834;262319;149184;20016;31945;0;62521;0;536;256718;153135;103330;253;0;64273;2452;3368;3606;20735;6064;11493;7130;9424;277896;229885;22277;3356;2711;8876;0;7580;3212;562814;10075;0;240341;288927;23471
2012;St_Gallen;35826000;4191728;251982;5577;246405;357747;166701;100468;64529;16539;0;9510;963767;24590;116907;218711;123485;22113;342332;78826;36802;86413;7261;41773;0;12785;24594;0;603980;561854;5185;24639;0;12301;764226;210054;273034;154749;18020;34517;0;73392;0;460;254244;150709;103259;275;0;64799;1998;4103;4095;16106;5954;10991;11584;9969;291457;226674;22918;3007;2495;26613;0;7725;2027;553114;10722;0;238224;280983;23185
2013;St_Gallen;36696000;4128734;219247;5179;214068;346742;151176;97444;65481;22197;0;10443;949149;24791;114309;224576;120533;22493;325925;78600;37921;86280;6080;42861;0;11144;26196;0;614722;575748;5102;21499;0;12372;774339;206292;285077;157232;17483;33571;0;74130;0;555;262593;162002;100287;305;0;63416;1307;3734;3736;18259;4310;13050;10295;8725;271661;226252;22025;3260;3003;10657;0;3943;2521;540585;7867;0;217651;289623;25444
2014;St_Gallen;37339000;4459846;535052;5307;529745;348250;153998;97573;63154;23586;0;9940;945518;22456;117748;215687;112561;23933;331502;81248;40383;78330;9203;35647;0;7762;25718;0;617891;577866;4602;23594;0;11828;760915;192960;277261;162091;15201;33700;0;79103;0;600;265583;157482;107843;258;0;70095;3634;4290;5401;20262;3886;15209;7347;10065;263002;217032;21614;4168;2666;8891;0;6058;2573;575211;8635;0;238899;296655;31022
2015;St_Gallen;36967000;4289611;197418;5347;192071;362423;159099;97555;67640;25762;0;12368;971188;21975;124743;228980;105360;27134;338958;86087;37952;83346;8863;39546;0;7476;27462;0;701170;660595;4391;23707;0;12478;793085;204230;271941;169974;16284;34679;0;95353;0;624;280648;173036;107353;259;0;70298;1599;4297;4217;21035;12295;8392;8087;10378;244839;197933;21056;4621;3146;7780;0;7613;2689;585195;10619;0;230145;314085;30346
2016;St_Gallen;37563000;4382121;199473;5602;193870;363282;156103;98578;73814;23982;0;10805;938490;21526;127537;214125;104245;29466;325700;78836;37055;84947;12102;36799;0;8067;27979;0;718587;676232;4793;25488;0;12074;854197;213902;292220;177399;15322;36234;0;118687;0;433;304966;181070;123641;255;0;73364;1407;3767;4154;18266;18738;8479;8141;10410;256090;197328;23082;10110;2861;9443;0;11333;1934;588727;9198;0;229970;318022;31536
2017;St_Gallen;37882000;4957202;204565;5633;198932;367781;160826;100367;71746;24036;0;10805;951633;22884;123480;210649;103000;31824;341948;81079;36770;84994;8227;38316;0;8107;30345;0;1185865;1138443;9539;24997;0;12885;877077;237646;309163;182885;16119;35993;0;94752;0;519;308800;181647;126920;233;0;87202;1709;6988;4739;27865;20480;5947;8589;10885;268455;198163;25444;8278;2689;7916;0;23988;1978;620830;9457;0;228235;352338;30800
2018;St_Gallen;38596000;4793324;349575;5959;343616;387188;167733;108605;72673;27193;0;10984;976016;24062;124640;210197;103953;39863;348944;85239;39119;92364;9491;42053;0;7196;33624;0;823605;781977;4913;29236;0;7478;865082;244307;288499;190785;16239;36772;0;87957;0;522;312505;181753;130495;256;0;86316;1698;10202;3546;25713;22238;5281;11162;6474;268061;196080;22144;4005;2996;8963;0;31551;2321;632611;12013;0;229066;369352;22180
2019;St_Gallen;39489000;4952413;222880;5635;217245;398617;174583;105775;78125;29735;0;10399;999630;24857;126320;221888;105263;27823;367704;85538;40236;99568;7536;44247;0;10970;36815;0;844550;799602;5100;29797;0;10052;891732;250755;290215;199271;15670;34565;0;100608;0;648;351075;219498;131320;257;0;87577;1106;11696;3711;25763;22700;4358;12163;6080;403871;195483;24649;4214;2385;17812;127334;30062;1932;652912;10500;0;233727;387611;21075
2008;Graubuenden;12804000;2138076;119910;4678;115231;126513;77802;23104;10260;10899;0;4448;385677;54212;35739;89630;75248;0;126956;0;3890;38572;16124;17367;37;5044;0;0;166528;150384;7508;5348;0;3288;228782;64394;69394;50148;3237;10458;2393;28569;0;190;613354;347012;266189;153;0;67851;5801;7820;779;37065;5797;0;5004;5586;321162;224898;23437;8799;11196;11464;0;41368;0;69726;3885;0;47904;441;17496
2009;Graubuenden;12846000;2171277;115929;4849;111079;133360;80958;25066;10579;11922;100;4736;368443;54916;39798;74549;76948;1072;117073;0;4086;37964;13188;18151;71;6554;0;0;174359;155741;8473;6223;0;3922;247898;75912;67488;55379;3976;10896;1988;32069;0;190;605498;331554;273364;580;0;79060;6231;6745;1397;45515;7324;0;5560;6288;343266;237074;30418;8354;13487;13610;0;40322;0;65501;9562;0;42711;438;12789
2010;Graubuenden;13277000;2264251;114612;4754;109858;144603;86117;26929;10994;11999;100;8464;392400;56404;42134;85231;74190;1121;128878;0;4442;37085;13377;18411;15;5282;0;0;190519;173209;8126;5872;0;3312;285232;89634;69504;65152;9575;15390;2677;33095;0;205;609687;344240;265295;152;0;79623;5224;7336;2556;36132;16583;15;5845;5932;362771;252570;31783;8608;19736;13334;0;36739;0;47719;4608;0;32210;432;10469
2011;Graubuenden;13567000;2278927;115286;5192;110094;157266;90417;35149;10800;10128;0;10773;385102;58356;42170;81765;67859;1093;129475;0;4384;36565;13063;18658;0;4844;0;0;202359;177252;8297;5737;7787;3285;304473;96370;72227;74731;10068;16686;1454;32752;0;185;598716;320952;276980;784;0;89711;5082;6124;1900;38300;18729;7396;6146;6033;344518;232490;31377;8552;20043;13119;0;38936;0;44930;3066;0;32916;405;8543
2012;Graubuenden;13713000;2479128;126372;5382;120989;167753;94217;35940;12057;11512;0;14027;391869;58745;43333;84011;64641;1059;135754;0;4324;34903;12405;17263;0;5235;0;0;237766;214436;8529;5630;5434;3735;324948;105662;78632;73415;8100;17069;1378;40505;0;185;605759;316698;288101;960;0;90442;5196;6723;938;39581;19702;6241;6329;5732;431586;231688;32762;8652;17318;14412;0;126753;0;67732;3667;0;57828;388;5849
2013;Graubuenden;14008000;2396494;121504;4105;117179;162585;90369;28229;16597;17879;0;9511;390769;65299;41888;88048;57551;13372;111738;0;12872;37251;15284;15974;230;5761;2;0;254918;223432;13371;5692;5557;6866;316832;103829;82195;67462;9014;14399;1282;38522;0;130;637996;317024;312796;8175;0;89947;5054;2620;1103;38922;22813;10230;4090;5114;334205;229397;29506;8244;15907;14438;0;36712;0;50487;3983;0;43067;376;3061
2014;Graubuenden;14172000;2457669;126287;4278;121808;164915;95097;28579;17101;18637;0;5500;392740;72446;41259;80784;56097;13065;116352;0;12737;44219;21010;17000;501;5698;10;0;244929;211507;14419;6390;5744;6869;316426;98203;82063;68724;9374;14687;1195;42050;0;130;656076;319196;336565;315;0;83409;6205;2729;1291;38508;15577;10234;4106;4757;369740;265123;30365;8133;13444;16375;0;36299;0;58928;3887;0;52043;353;2646
2015;Graubuenden;14287000;2501492;131508;4408;126908;168363;95355;29134;18483;18337;0;7055;401520;71493;42880;82548;59449;12941;119674;0;12536;51965;29924;15827;453;5758;3;0;251494;217126;14478;7046;6129;6714;321730;97370;82494;63443;9779;15129;1258;52126;0;130;671390;306801;364208;381;0;87391;5648;4584;1268;40388;17993;8108;4269;5133;366332;262329;29083;8182;20712;12794;0;33232;0;49798;4330;0;42617;349;2502
2016;Graubuenden;14394000;2349751;127911;4078;123648;178294;96064;30853;25415;19253;0;6709;382654;50988;44118;81376;58320;12545;122418;0;12888;43592;21506;15233;611;6222;20;0;263579;227980;14333;8048;6260;6958;330560;100942;87329;63780;10169;15154;1379;51678;0;130;479108;305847;173101;160;0;83141;3907;2562;1457;39096;19442;7724;4101;4854;387997;264437;32658;8241;19379;28786;0;34496;0;72915;3850;0;65079;349;3638
2017;Graubuenden;14191000;2400632;130250;3823;126211;199381;95404;34844;43801;19153;0;6179;392877;52482;42549;82535;63820;12369;126151;0;12970;38038;15400;16188;456;5995;0;0;256953;219614;15507;8009;6394;7430;338577;109428;87152;65322;10013;14816;1299;50380;0;167;482981;312121;170682;178;0;91733;3036;791;1498;47875;19237;10385;3866;5045;379361;267361;34441;8664;20063;17165;0;31631;37;90482;3536;0;80465;347;6135
2018;Graubuenden;14624000;2420109;142906;4740;137922;213671;95653;37829;55390;18402;0;6397;405462;94450;2483;81171;68881;12140;133083;0;13253;39422;16855;15809;425;6318;15;0;260414;222593;15342;8530;6618;7330;345304;114979;87594;65683;10392;14600;1313;50546;0;197;461579;289036;172390;153;0;87014;2992;781;1371;44461;19237;8435;3953;5783;387808;268677;32309;9134;21800;16925;0;38963;0;76529;3807;0;67561;353;4809
2019;Graubuenden;15070000;2429076;154007;4624;149199;218997;99744;37025;58284;18703;0;5242;407547;93702;6069;83438;60287;12177;135770;2409;13693;40716;16795;16905;540;6460;15;0;262575;224975;15513;8476;5999;7612;350874;121783;86487;67429;10675;12935;1315;50086;0;164;454071;287702;166124;245;0;89325;4358;117;1911;48626;19269;5256;3900;5889;384233;267498;30866;8967;14703;23001;0;39198;0;66730;4457;0;58904;342;3027
2008;Aargau;38847000;5759269;803451;7539;795912;306997;123940;66102;57487;44886;833;13749;2708989;1943657;230735;143757;152671;26818;166456;0;44896;59132;26179;17873;163;14867;50;0;399339;357642;243;20317;0;21137;621916;197428;218719;88370;4557;39764;440;71638;0;1000;391860;259016;132694;150;0;112610;587;5902;1000;21278;13907;53804;7420;8711;169955;146098;15027;1053;0;2233;0;5544;0;185020;12348;0;58886;31840;81946
2009;Aargau;38018000;4107370;216927;8170;208758;336343;125601;69325;78221;47628;832;14737;1529582;787883;203024;138003;148246;35765;178744;0;37917;63815;34916;19202;335;9312;50;0;480883;434030;263;24654;0;21936;639033;181530;227505;95861;5474;45964;1644;80048;0;1005;366653;220585;145968;100;0;90671;623;4047;149;19622;17503;32177;7819;8731;207285;156498;13864;1104;567;2259;0;32973;20;176179;12199;0;58492;30710;74778
2010;Aargau;38747000;4146059;215594;7611;207984;351215;125214;76524;79963;54540;916;14057;1564949;802314;201141;146411;146656;27436;208620;0;32371;76553;30115;34942;387;11075;34;0;447229;412589;343;21484;0;12814;694715;224423;227282;96037;5248;51120;6313;83062;0;1230;351774;209554;142220;0;0;76478;284;1986;1796;26325;21130;8401;7688;8867;184353;158180;13505;849;735;3216;0;7854;13;183197;14627;0;63558;33132;71881
2011;Aargau;39609000;4336101;229101;8361;220740;388262;135103;103476;75384;58598;848;14853;1580039;828973;199960;139865;146963;30672;200788;0;32818;67799;31742;25105;669;10251;32;0;526710;489646;159;21174;0;15731;750711;240048;239892;109849;4981;51134;2672;100891;0;1245;348888;196316;152572;0;0;72734;499;1532;885;19310;16980;16914;7853;8761;194297;158540;14100;1222;674;3835;0;15926;0;177562;11943;0;63849;37385;64384
2012;Aargau;39862000;4577404;212597;7925;204673;420838;141803;118323;82603;62304;766;15039;1666966;895826;199705;149056;150786;33267;199921;6600;31806;71214;31927;27523;232;11519;13;0;592705;554538;149;20406;0;17612;804056;271593;249231;117282;9221;49283;2378;103543;0;1525;345601;189810;154732;1060;0;99220;374;756;925;17930;11507;50698;7793;9236;189346;163018;14524;936;845;3731;0;6292;0;174859;11381;0;62892;40044;60542
2013;Aargau;40767000;4703961;200455;8371;192083;431434;146865;121538;84347;61345;1334;16006;1703677;900667;205062;145738;163465;35664;214096;6600;32385;75861;33232;28434;180;13993;22;0;644166;605813;133;21180;0;17040;842741;281426;262002;130144;4033;50886;1776;110998;0;1475;327225;168497;158157;571;0;144142;279;1285;868;25582;11727;87635;8067;8698;187880;162017;13236;1435;1060;6437;0;3695;0;146380;12918;0;43209;40163;50090
2014;Aargau;41228000;4770144;208632;6473;202159;412540;146446;119874;85602;44239;0;16379;1722565;916887;209333;142705;151760;35210;234507;6600;25564;75275;33918;30128;515;10714;0;0;647254;617948;82;19198;0;10026;887561;294671;266574;140174;2741;46412;0;135459;0;1530;338116;182452;152759;2905;0;117157;0;930;1364;21269;18669;57177;7844;9903;191294;154254;11533;2646;467;15410;0;6983;0;169751;12136;0;72225;46753;38637
2015;Aargau;41926000;4892711;200028;6745;193283;437251;146692;134510;90556;43390;0;22103;1723974;920518;215763;140799;155787;35198;224143;6600;25165;71241;31386;28024;0;11831;0;0;694498;665693;73;18494;0;10239;925074;294245;274051;141571;4982;49587;0;158908;0;1730;374139;214351;156852;2936;0;121258;0;890;674;23402;18940;62746;7746;6861;190744;150578;11045;2959;0;14804;0;11358;0;154505;12893;0;64878;46554;30180
