Year,Total expenditure,General administration,Executive and legislative organs,General services,International relations,R&D general services,"Public order and security, defense",Public security,Administration of justice,Prison system,General legal issues,Fire protection services,Defense,"R&D public order and security, defense",Education,Obligatory schooling,Special schools,Basic vocational training,General education schools,Post-secondary vocational education,Tertiary-level institutions,Research,Other education,"Culture, sport and leisure, church",Cultural heritage,Other culture,Media,Sporting and recreational services,Churches and religious services,"R&D culture, sport and leisure, church",Health,"Hospital, convalescent and nursing home services",Outpatient care,Preventive healthcare,R&D health,Health n.e.c.,Social security,Sickness and accident,Disability,Old age and survivors,Family and young people,Unemployment,Subsidized housing,Social welfare and asylum affairs,R&D social welfare,Social welfare n.e.c.,Transportation and telecommunications,Road transportation,Public transportation,Other transportation,Telecommunications,R&D transportation and telecommunications,Protection of the environment and spatial planning,Water supply,Sewage disposal,Waste management,Control structures,Protection of biodiversity and landscape,Anti-pollution,Other environmental protection,R&D environmental protection,Spatial planning,National economy,Agriculture,Forestry,Hunting and fishing,Tourism,"Industry, commerce and trade",Banks and insurance companies,Fuel and energy,R&D national economy,Other commercial operations,Finances and taxes,Taxes,Tax agreements,Fiscal equalization and cost compensation,Revenue shares in federal receipts without appropriation,Other revenue shares without appropriation,Asset and debt management,Redistribution,Undivided items,Canton
1999,5771867,244357,7639,236718,,,393607,148041,75785,64769,84621,,20391,,1454155,681851,53992,230888,105766,127221,234743,,19694,135812,31290,34767,865,6913,61977,,984397,912891,21503,22414,,27588,1184771,308444,213018,304902,69403,138297,22678,127304,,725,367324,278794,86542,1988,,,87867,,22539,9054,24970,2322,,4743,,24240,531141,224041,40960,6153,8727,10278,236926,3237,,819,388436,58336,,1000,,43073,286027,,,Vaud
2000,5865516,245523,8444,237079,,,396660,145219,80896,66475,85770,,18300,,1530574,698866,59779,225722,130017,113256,280288,,22645,125031,25522,32481,935,4969,61124,,1028470,923541,38899,23551,,42480,1214705,305948,230829,310154,74943,122516,16432,153160,,724,384462,300663,79641,4159,,,80154,,23111,5429,24674,5154,,4015,,17771,401733,234187,133956,4475,8608,13881,4186,2341,,99,458203,73920,,1000,,45832,337450,,,Vaud
2001,6176383,283206,9687,273518,,,414135,148434,76983,72896,99528,,16295,,1674303,754153,103586,247934,145754,49425,347322,,26130,136708,26274,35700,1164,11055,62515,,1120845,1023194,45442,25232,,26976,1367525,311712,246009,325683,80575,86263,15199,301375,,710,360828,264498,92568,3762,,,81515,,21603,5149,26607,3857,,3936,,20364,333582,263962,38254,4050,9082,14687,,3548,,,403736,36041,,,,43578,324117,,,Vaud
2002,6699547,287418,10923,276495,,,435203,156444,82111,80018,101355,,15275,,1793133,771702,110612,286007,136318,62389,392843,,33263,134040,24230,35323,2465,11399,60623,,1181460,1078113,46667,27380,,29301,1382063,314526,260745,355129,87325,77076,14508,271906,,848,332973,243298,85339,4336,,,92088,,18254,7240,21307,11634,,4114,,29539,689062,273869,34903,3991,6663,11086,355416,3134,,,372108,40819,,,,48377,282913,,,Vaud
2003,6591655,295960,9373,286587,,,470130,175481,86269,84376,106964,,17040,,1848381,780685,119058,226702,151578,49706,483617,,37035,136056,22997,38349,2367,10695,61649,,1297529,1146277,50619,55805,,44829,1366899,316612,276164,324807,86516,84474,13472,264615,,238,345942,253423,87602,4916,,,95070,,13960,20426,24119,3535,,4012,,29017,364209,281753,47234,3796,9030,19326,,3070,,,371479,38690,,0,,44901,287888,,,Vaud
2004,6762259,288376,11661,276715,,,477560,168318,103810,83042,108788,,13601,,1848356,798511,96204,201463,173209,15393,525659,,37916,135620,24064,39384,3145,8966,60061,,1379074,1237602,66110,35080,,40283,1404199,324480,294503,280685,94285,77493,12305,320219,,229,396811,266501,125707,4603,,,100906,,15186,32006,18515,6986,,3784,,24428,340192,273550,34701,3798,9306,15357,,3480,,,391166,32262,,,,57725,301178,,,Vaud
2005,6925271,285527,10832,274695,,,471768,169729,97746,78471,113163,,12659,,1851020,773458,96212,195459,192341,6855,550106,,36588,139512,28669,38632,4103,10723,57385,,1396849,1243374,67074,39783,,46618,1472584,323387,302102,274413,94242,98290,13467,366469,,214,437022,245585,187045,4392,,,151202,,33036,62064,20169,4659,,3610,,27664,352008,275066,30144,3834,9493,31043,,2427,,,367779,36582,,,,63631,267565,,,Vaud
2006,7040970,308553,10911,297642,,,480982,169811,119270,82306,96667,,12926,,1842897,775123,97515,191407,182874,5570,553916,,36491,135857,29321,37955,2612,11440,54529,,1416548,1273233,67036,38518,,37761,1535462,344439,303245,275272,94195,86065,12079,419763,,403,447590,189930,252483,5176,,,105136,,17294,36904,20272,6911,,3792,,19964,338136,274464,27140,3942,11393,17699,,3496,,,429809,121528,,,,71021,237260,,,Vaud
2007,7157374,371728,10730,360998,,,485070,174540,118978,80463,99293,,11796,,1876291,778817,101852,202479,185788,6395,564850,,36111,139030,28132,40873,2314,10880,56832,,1559210,1416807,66121,40537,,35745,1627297,326509,371927,284152,101532,84353,9146,449478,,200,320150,168608,119667,31876,,,70010,,15430,1832,26690,6195,,3841,,16022,356968,287870,34178,4075,9698,15415,,5732,,,351620,55996,,,,89568,206055,,,Vaud
2008,6891149,321982,10503,311479,,,521832,180886,139120,78605,108946,,14275,,2160634,820492,180336,213776,190895,12686,588757,113877,39816,137453,20269,40830,3383,14431,58539,,1106750,824705,108342,36438,112780,24485,1565880,340636,303964,202118,128832,79601,9031,501274,,424,282307,112017,163861,6428,,,66711,,8844,1694,23264,9614,1819,5033,,16443,364806,274096,30616,5631,100,51479,,2883,,,362795,41961,,65577,,80726,174532,,,Vaud
2009,7409558,348293,10917,337377,,,532752,186196,133694,91343,106337,,15182,,2303524,859602,192465,229895,198289,13262,641136,124329,44546,141617,19273,45277,1493,14824,60750,,1292178,985933,117363,40624,118952,29306,1677638,364487,326941,213448,144601,83733,8759,535244,,425,314319,117582,189434,7303,,,84261,,7726,3435,24012,13271,8811,4860,,22146,392260,305627,31155,5933,,46983,,2562,,,322716,67065,,25225,,104455,125971,,,Vaud
2010,7843135,420088,11104,408985,,,557325,193733,139086,94108,113362,,17035,,2451596,896471,197591,234512,244299,18715,692712,133282,34013,152130,24567,55613,2888,8606,60456,,1263425,946574,129829,38714,122002,26306,1760760,395934,340859,220564,156203,87680,8621,550420,,480,343466,156739,179525,7202,,,106395,,8234,3809,30362,11180,15128,5440,,32244,415981,308598,32570,5682,,66244,,2887,,,371968,75019,,78544,,113236,105170,,,Vaud
2011,8239453,387210,10778,376432,,,582646,201660,137905,97039,130983,,15058,,2485039,918808,200213,246902,244091,17723,687109,139586,30608,146375,24275,46625,5221,7722,62533,,1276003,943428,142441,42274,122012,25848,1917086,433842,357651,234370,172673,99099,18178,599836,,1437,377516,162802,207819,6895,,,88203,,6590,1248,32301,6641,9514,3456,,28452,444647,301144,31173,6275,1000,102051,,3004,,,534729,119455,,214974,,116360,83939,,,Vaud
2012,9208661,948979,11294,937686,,,618381,231531,143595,111739,115851,,15666,,2608709,951766,203485,252286,240136,16019,761123,153330,30565,152433,29110,47918,6114,7685,61606,,1369623,1025847,148279,40810,127505,27183,2052037,457511,382752,263641,169624,95729,7264,674563,,952,442463,217661,216931,7871,,,106339,,7326,3001,35993,15273,10635,4941,,29172,422752,306339,33973,6554,2554,69906,,3427,,,486945,144292,,92999,,125931,123722,,,Vaud
2013,9510779,1110801,10517,1100284,,,639073,221581,148738,145303,107395,,16056,,2645540,961588,210638,243965,268439,21204,739132,159691,40882,151843,30914,45784,5848,8771,60527,,1455115,1064109,153433,80402,126897,30274,2158545,484225,366706,275920,177644,108662,6961,737173,,1255,389508,163931,210818,14760,,,98386,3077,7713,2648,25713,15685,4469,6862,,32218,405307,317625,30374,5918,1112,40660,,9619,,,456662,100224,,117473,,126543,112423,,,Vaud
2014,9448499,598988,10833,588156,,,691523,242322,161707,134017,133730,,19746,,2727075,971707,230991,265940,289220,8791,751087,169943,39395,170730,33902,55370,3031,17385,61042,,1546543,1119355,173054,94131,132794,27208,2412965,516676,401209,154495,246982,113978,,979625,,,363632,142879,175537,45217,,,104470,,2678,4637,29776,14620,22410,,2160,28189,420353,316855,32647,2125,3622,47805,,16200,1098,,412220,86831,,113382,,127888,84119,,,Vaud
2015,9470688,449568,10805,438763,,,729417,248053,164844,131477,163373,,21670,,2772612,1000253,235210,266250,294592,9070,761184,164210,41844,189117,37498,61644,3942,24216,61816,,1580987,1136341,187231,97690,132683,27042,2433753,544486,424542,164441,264269,112869,,923115,,30,418529,187845,179107,51577,,,105511,,3427,4603,31200,15111,20870,,2037,28262,425535,313666,29872,1448,3080,57663,,18647,1158,,365660,80996,,91039,,129625,64001,,,Vaud
2016,9785961,413365,10456,402909,,,740987,251925,166770,140623,159965,,21705,,2825605,1002071,243492,336762,237479,15447,780350,169616,40387,205699,50398,65230,2992,25202,61877,,1698607,1258717,187262,86375,135241,31012,2600171,581674,363292,306476,270787,119059,,958883,,,434487,189829,205134,39524,,,106284,,4270,4798,32098,14175,18096,101,2047,30699,449747,321614,31172,1765,9399,65990,,18715,1092,,311008,81810,,58781,,121110,49307,,,Vaud
2017,9880913,404238,11115,393123,,,730336,254179,165202,143220,148362,,19374,,2862628,1008514,244900,323581,243131,19778,813122,170430,39173,220172,57638,68204,3143,29054,62133,,1575001,1120976,203607,80913,137171,32334,2799224,633661,394229,309137,278679,119430,,1064088,,,400290,162968,206211,31111,,,127201,,3565,8877,34582,16214,28463,54,2097,33348,472934,324365,34050,1918,10000,50332,,51134,1134,,288889,79873,,27503,,129557,51955,,,Vaud
2018,10369805,396826,10749,386077,,,746700,256713,167294,148360,155832,,18500,,2925227,1024291,255057,320802,246548,18813,833928,183439,42351,242753,81087,64141,3232,32385,61909,,1741635,1286211,218836,60896,142763,32928,2955121,720949,468861,312550,310164,118911,,1023687,,,460563,169042,284240,7281,,,119012,,5853,1849,43294,17386,19576,217,2058,28779,481231,336438,31289,2159,8560,46824,,54756,1205,,300737,99386,,8624,,143710,49017,,,Vaud
2019,10448090,461168,10790,450377,,,766852,255132,174040,152788,162277,,22615,,2978507,1054482,258199,311497,251599,19775,849709,188951,44295,247948,78992,68746,3312,34954,61945,,1640819,1193821,223009,53770,137112,33108,3027665,814973,490977,346364,309328,120613,,945411,,,436189,179141,249028,8021,,,120492,,4439,1893,46625,19366,19426,,1743,27001,489876,348087,29776,2162,6493,37438,,64535,1385,,278573,92227,,8117,,137305,40924,,,Vaud
2020,11059403,420213,11143,409071,,,773726,251601,184027,154242,160178,,23678,,3023939,1079749,260666,313894,265936,19983,857248,181784,44679,267268,72387,105615,3320,23749,62197,,1942564,1334001,279055,154724,136688,38097,3127080,809617,512829,361729,375871,122418,,944616,,,481650,160443,312652,8555,,,110458,,8990,1981,34591,23281,14626,,1824,25165,587280,353821,31130,2750,4768,129670,,63822,1319,,325224,81972,,7609,,199254,36389,,,Vaud
1990,1104206,45475,2663,42812,,,83847,33838,9476,5134,17520,1646,16232,,256036,73094,6861,64948,23012,18499,62791,,6831,18150,4990,4445,141,8240,334,,124648,111436,614,6712,,5887,153343,22659,30690,64043,13583,2942,1047,18225,,154,276466,262375,13756,335,,,30532,150,11919,5418,810,41,,142,,12053,52532,37672,6743,1066,985,5285,,640,,141,63177,1511,,615,,34089,26962,,,Neuchatel
1991,1262378,49883,2948,46935,,,93712,38092,12208,5999,19519,1681,16212,,288129,87544,2504,74721,27931,12951,74904,,7575,19309,4678,5310,145,8832,344,,150858,134653,3069,6981,,6154,178096,26057,33135,73803,14588,3187,683,26243,,400,317886,300653,16866,367,,,33062,2479,6264,9395,1939,1989,,113,,10882,62007,43045,8535,1545,1079,4933,,2690,,181,69435,2458,,595,,35263,31120,,,Neuchatel
1992,1394034,58940,3783,55157,,,103768,41374,11725,11572,21004,1849,16245,,315173,90126,2772,79385,24512,13650,96805,,7924,18824,4318,4445,151,9592,319,,159066,142488,2246,8614,,5718,198856,27770,37026,84500,15051,5449,1177,27516,,366,332680,311177,21141,361,,,48316,1750,8872,12165,5363,1101,,87,,18978,70828,47385,8439,1299,716,11801,,1012,,177,87583,5184,,500,,40456,41443,,,Neuchatel
1993,1401877,54545,2743,51802,,,101495,41744,11161,8527,22143,2026,15895,,303221,88401,2304,68513,24949,12657,96346,,10050,19402,4544,4488,277,9742,350,,150289,133605,2582,8685,,5417,264042,24581,42740,89610,14672,59793,1304,30913,,428,296387,276212,19791,384,,,37637,3201,9108,10367,2644,428,,93,,11795,69985,53469,6925,1310,895,6479,,906,,,104873,5164,,400,,42080,57229,,,Neuchatel
1994,1344206,53962,3111,50852,,,101900,39011,11194,14394,21289,2286,13727,,297814,84375,2269,70316,26869,12224,92020,,9741,20501,5827,4708,349,9334,284,,143371,129756,961,8016,,4640,256749,26519,45047,95141,17562,36016,1488,34667,,310,243161,224850,17971,341,,,39726,2050,8219,10486,3175,1637,,21,,14138,71860,56860,7434,1178,1004,4641,,744,,,115160,5546,,225,,45093,64296,,,Neuchatel
1995,1311260,63112,3023,60089,,,96362,39486,10651,10914,21794,2054,11463,,301604,87319,2329,70494,26358,11878,92703,,10523,19333,5307,5796,261,7518,450,,142567,129109,1905,5503,,6049,245584,27481,47342,97635,18089,12453,1782,40451,,352,165697,145559,19718,419,,,33983,1964,7777,9314,2186,675,,341,,11727,124031,57860,7733,1219,1142,5155,50000,922,,,118987,7311,,725,,43084,67867,,,Neuchatel
1996,1334105,64699,2887,61812,,,100489,39788,10930,8775,28989,1421,10586,,318861,90531,8046,75165,27683,12106,97269,,8061,19537,6591,6711,84,5667,484,,162420,145635,4009,7093,,5683,262384,58704,46915,65888,19408,29947,194,40906,,422,163387,139832,23138,417,,,35748,1072,8924,9234,674,461,,,,15384,82876,66504,7684,1166,1835,4603,,1084,,,123704,8136,,,,46013,69555,,,Neuchatel
1997,1434077,65301,3278,62023,,,102435,40175,11437,8890,28568,1752,11615,,321772,95906,7802,75047,27071,15221,93941,,6783,22670,6270,10370,172,5575,284,,174095,158220,3319,7509,,5047,305090,65409,51503,67540,20862,54401,42,44940,,394,187827,165963,21532,331,,,34610,1141,12158,8441,1459,,,545,,10866,88910,68485,7716,1210,2116,8409,,973,,,131367,8269,,,,51189,71909,,,Neuchatel
1998,1510826,67028,3076,63952,,,102649,40109,11924,9035,29703,2154,9724,,316909,104642,8040,64832,26892,21661,84129,,6713,30905,10691,11521,32,8377,284,,179176,161428,3100,9100,,5548,317166,72213,53091,71454,21275,46374,28,52426,,305,238140,218974,18640,526,,,35388,36,18234,4332,981,,,884,,10921,95178,72968,7620,1492,2804,9339,,955,,,128287,8861,,,,49142,70284,,,Neuchatel
1999,1594297,67919,3182,64737,,,107090,41742,12219,9112,31702,2999,9316,,329476,96925,8520,69323,33055,34766,79773,,7114,36889,14094,11411,127,10973,284,,186352,170391,3817,7040,,5104,321200,78437,51481,78748,21492,23763,,66944,,335,272162,253498,18259,405,,,37757,384,16829,5394,1507,,,759,,12884,96686,70855,8829,1764,3444,10597,,1197,,,138767,18047,,,,51777,68943,,,Neuchatel
2000,1645239,69476,3585,65890,,,114219,44029,13051,10442,30299,2626,13773,,358047,92188,8778,78136,40315,42515,88687,,7427,32829,10902,12546,120,8977,284,,188656,172769,4103,6822,,4962,336385,79728,53326,79417,23097,22245,,78258,,315,273467,250066,21996,1405,,,42063,3116,17664,3541,3087,133,,1190,,13332,102638,71581,14284,1392,2668,11152,,1561,,,127459,7460,,,,51034,68964,,,Neuchatel
2001,1625513,74917,4276,70642,,,116254,50041,14114,11470,30146,2298,8185,,372169,98036,9093,83672,38172,11506,123937,,7752,38332,15327,15246,192,7284,284,,201172,184817,4450,7036,,4868,343890,81371,59451,84943,28724,20745,,68320,,335,234120,211005,22701,414,,,43661,424,20125,3289,2984,73,,1228,,15538,122339,77035,12163,1507,2544,13234,,15856,,,78658,9008,,,,3057,66593,,,Neuchatel
2002,1645895,87762,3794,83968,,,120912,54355,14451,11489,30202,2116,8300,,388082,105781,9135,75450,42770,17537,129734,,7675,34472,8862,17730,94,6253,1533,,224187,204009,6251,7165,,6762,351094,83655,65468,84874,31510,16694,,68578,,315,210248,187271,22363,614,,,40252,835,21049,2586,1320,236,,1083,,13142,111017,79802,9437,1624,2771,14036,,3347,,,77869,9812,,,,3200,64857,,,Neuchatel
2003,1700629,87185,4144,83041,,,122941,54768,14953,12348,31583,2973,6316,,407006,113265,8954,79396,43887,13542,140375,,7586,31131,9810,13519,100,6202,1500,,241968,221189,6579,9148,,5053,373760,80160,68036,88077,35867,24937,2235,74143,,305,197419,173040,23959,419,,,40998,882,20539,2269,772,201,,1450,,14885,111026,79211,9691,1693,2857,15273,,2300,,,87196,17977,,,,3276,65942,,,Neuchatel
2004,1784176,89734,3468,86266,,,130056,56910,15618,14375,34043,2954,6156,,429664,113262,9305,85469,45671,12460,155339,,8158,29483,8307,13248,139,6089,1700,,253133,230989,7074,10144,,4926,404508,81361,74894,90895,36852,33046,2307,84837,,315,212063,189035,22600,428,,,35971,439,14209,2077,817,218,,1389,,16821,110112,78137,8260,1702,2790,15864,,3359,,,89453,17903,,,,3715,67835,,,Neuchatel
2005,1809229,89902,3810,86092,,,129340,51649,15330,15518,35639,2265,8938,,452909,105753,9032,109431,54254,12450,153712,,8278,30404,9424,12484,162,6805,1530,,278591,253021,10831,10506,,4233,422797,82006,81412,94771,33197,34173,2444,94306,,489,179019,139033,39533,453,,,31551,782,9750,1966,2726,1363,,113,,14851,110349,80560,9577,1668,3710,12652,,2182,,,84366,17416,,,,3347,63603,,,Neuchatel
2006,2072648,85302,3251,82051,,,127580,49575,15230,14889,37288,2573,8026,,474259,94385,9633,106802,55051,13328,187475,,7585,29597,8736,12788,208,6365,1500,,426809,391188,20042,10917,,4662,518502,82583,85784,94780,41377,33492,2445,177858,,184,173880,132145,40972,763,,,23466,271,7593,586,942,1688,,116,,12270,110794,83721,8642,1669,2615,12036,,2112,,,102460,17167,,1121,,4755,79418,,,Neuchatel
2007,1850588,84076,3292,80783,,,131938,57491,15603,15139,32384,1989,9333,,490225,101597,8672,108866,56220,12589,194990,,7290,27746,7182,12243,247,6774,1300,,283398,256429,11388,12216,,3366,478353,105572,91846,105925,36217,33744,2361,102429,,259,147839,102345,44687,806,,,16739,661,6066,1203,621,2702,,220,,5267,115676,83774,8873,1607,3304,15620,0,2497,,,74598,16954,,1395,,5883,50366,,,Neuchatel
2008,1826069,85417,3046,82372,,,144323,62217,16944,17608,37389,2080,8085,,525856,97909,37444,108991,55484,2540,170703,45522,7262,26193,5740,13008,226,5660,1560,,267754,233127,17794,13871,,2962,430554,89278,77774,91320,46582,27108,3237,95005,,250,136661,82965,52709,987,,,15454,771,4136,585,1384,1479,,3784,,3315,116907,75966,11271,1372,2925,23417,,1957,,,76950,19986,,3913,,6107,46944,,,Neuchatel
2009,1959245,106460,3606,102853,,,157178,68653,17653,18050,39381,2230,11211,,558842,102153,35825,149538,66247,1230,165480,30958,7411,28672,6718,14550,250,5594,1560,,275864,242089,16716,13527,,3532,474983,95565,91985,100190,42032,35386,3300,106261,,264,136719,83375,52371,974,,,19428,2376,5316,1810,1380,2593,471,2671,,2811,124112,81378,9201,1319,2958,27076,,2180,,,76987,20235,,3832,,6478,46442,,,Neuchatel
2010,1912223,91085,3612,87473,,,166314,73845,17672,21074,41664,2881,9177,,517285,102188,34009,121425,53974,1616,157469,39176,7428,28498,8673,11736,242,6467,1380,,282600,239535,26233,13599,,3233,471674,105248,92057,92797,40819,31756,3029,105663,,305,139938,79248,59626,1065,,,17194,2311,4381,1992,695,2173,909,2688,,2045,122491,85179,9798,700,2371,17915,,6528,,,75144,20189,,3626,,6293,45036,,,Neuchatel
2011,2002782,92568,3284,89284,,,190250,93909,20131,24047,39821,1902,10440,,544657,107337,34961,127947,51741,1665,156875,56500,7632,34524,9062,15635,455,7813,1560,,312064,273928,21408,13634,,3094,479519,108151,92752,75916,46133,35031,3025,118214,,298,143877,81993,60808,1077,,,18215,324,3731,2034,1198,1713,4076,3458,,1681,120724,86828,10588,778,3232,17584,,1714,,,66382,20198,,3875,,6389,35921,,,Neuchatel
2012,2053236,94421,3326,91095,,,179138,83594,22022,22900,39027,2047,9548,,554383,106139,37299,137024,51071,1771,157471,61205,2402,33150,9018,14324,408,7839,1560,,332825,292016,23923,13485,,3401,512780,112886,96604,80717,55268,30450,2882,133712,,260,139769,79576,58554,1639,,,18539,267,3971,1569,712,1575,5345,3433,,1668,119989,85085,10071,916,3766,17121,,3030,,,68242,21620,,4184,,6131,36307,,,Neuchatel
2013,2096007,122526,4901,117624,,,174915,79589,21795,26035,38191,2,9304,,563362,112383,28975,139557,50726,1529,165460,61971,2762,35428,10858,16136,399,6475,1560,,345127,301822,26478,13347,,3479,515898,118963,99271,67336,59247,30113,2591,138117,,260,140837,79987,60147,702,,,19834,364,5972,1554,1982,1518,3074,3479,,1891,118328,85142,10288,628,3488,14463,,4318,,,59753,17026,,4286,,5893,32548,,,Neuchatel
2014,2185422,203231,4083,199148,,,185062,80681,23413,32343,39306,404,8916,,546149,114554,29889,138658,50483,1616,171948,36432,2568,31161,7227,16001,388,5986,1560,,354088,307226,28901,13986,,3975,538602,126432,101439,68676,59849,33533,2138,146275,,260,125788,62611,63178,,,,22157,527,4020,1103,1881,1313,7751,3564,,1999,121011,90060,9994,810,3526,14561,272,1788,,,58172,16511,,3787,,7035,30840,,,Neuchatel
2015,2155800,122345,3875,118470,,,197127,85464,22892,38417,41389,587,8379,,554534,113812,30635,145322,49074,1681,175734,35822,2455,29528,7835,14110,243,5780,1560,,383213,332831,31797,14257,,4327,555983,113417,106587,70255,62088,33760,1649,167967,,260,107251,47327,59924,,,,20326,347,2971,1084,1187,2201,7016,3654,,1864,125091,92596,10330,680,4613,14930,,1942,,,60401,24421,,2973,,3337,29670,,,Neuchatel
2016,2198947,122007,3552,118454,,,193952,84494,22527,34389,41133,415,10994,,551620,112515,31598,143392,49114,2142,176949,33479,2431,29807,7502,14651,239,5855,1560,,373379,319171,37113,12243,,4852,603937,123889,107872,70308,64387,36622,1473,199125,,260,127127,59364,67763,,,,19587,241,4164,1099,1563,1547,5269,3349,,2354,126595,93114,9965,977,3947,16497,,2095,,,50937,18327,,2650,,3036,26923,,,Neuchatel
2017,2194971,122714,2946,119769,,,192255,87539,22500,29441,41880,281,10614,,559350,113385,32130,142321,48835,2239,184891,33145,2404,30049,6278,16211,236,5765,1560,,379414,316774,38728,19007,,4904,601426,126922,103615,72045,65260,34844,1432,197041,,268,117016,48408,68608,,,,17139,749,3253,1204,1201,2080,3530,3394,,1729,129790,92636,10148,675,4466,18466,,3398,,,45818,15023,,2488,,3071,25236,,,Neuchatel
2018,2212707,136617,3402,133214,,,187591,80273,21676,28323,48339,,8980,,552317,122765,33608,120634,42006,7053,182768,34337,9147,27804,6923,15227,236,3858,1560,,382926,318736,40196,16911,,7084,606644,125800,107246,71839,64558,42153,810,194237,,,123183,54175,69008,,,,22275,1971,5293,895,1333,7021,6510,4,,-751,130092,97378,4448,626,5705,16682,,5253,,,43257,14575,,3625,,2655,22402,,,Neuchatel
2019,2425672,136550,3566,132984,,,191422,80459,22130,29247,50933,,8652,,541411,122310,34653,111497,40754,12150,173273,32620,14154,28383,7340,15454,309,3721,1560,,597286,531232,40557,16956,,8541,591424,117583,112421,75573,69937,40587,682,174642,,,133013,62473,70540,,,,23552,3653,5034,1152,1314,8090,5721,10,,-1421,135992,96505,5004,469,4638,21999,,7377,,,46638,17112,,3475,,3190,22861,,,Neuchatel
2020,2371698,142731,3575,139156,,,194599,82810,22906,29894,50397,,8593,,554873,124310,36049,125264,38582,12617,168926,31566,17559,31722,6843,18920,300,4099,1560,,455851,354002,42479,49490,,9880,612198,124341,119548,79256,69192,43568,541,175753,,,145514,69367,76147,,,,29069,4624,4171,1055,3593,7198,5986,10,,2432,150372,95818,4630,559,5510,36565,,7291,,,54769,12603,,16518,,2525,23123,,,Neuchatel
1990,4821308,164355,9266,155089,,,438271,220834,33831,52396,89129,11184,30897,,1453523,538844,28860,215519,143009,49978,417450,,59864,36707,2449,27468,408,5982,400,,1000614,948720,,16046,,35848,811032,78900,84085,222208,49076,24983,67058,281818,,2904,409727,249492,158326,1910,,,107812,,47960,16719,22110,1118,,6006,,13899,31372,13053,1418,2181,269,13532,762,156,,,367894,44585,68840,,,32801,221668,,,Geneva
1991,5157502,167989,10108,157881,,,459081,231798,36639,58797,89585,11715,30547,,1485143,547257,29826,225823,147961,39302,433889,,61085,32623,2129,24328,291,5799,75,,1072667,1018315,5,18362,,35985,945793,82780,96772,358740,51513,38139,77846,233666,,6337,442357,224897,210832,6628,,,110997,,41765,18624,28890,1238,,6381,,14099,29651,12245,1423,2436,308,12481,754,4,,,411202,38976,78430,,,23479,270318,,,Geneva
1992,5333255,169168,9553,159614,,,463351,235052,38463,61094,90700,12666,25376,,1547296,559427,30910,240610,157700,35313,462304,,61033,28632,1754,19815,549,5941,573,,1160972,1106028,599,17275,,37069,966418,67055,102536,341082,51080,61423,105937,231741,,5563,320824,157927,158233,4665,,,105760,,40162,21474,19917,1228,,6951,,16027,35979,12834,1427,2088,313,14972,1007,3338,,,534854,42555,82970,,,32930,376398,,,Geneva
1993,5907041,210336,9555,200781,,,465931,242437,38403,59126,89188,13554,23222,,1529472,563088,30886,246315,154854,33718,438697,,61915,27344,1719,19390,436,5334,465,,1175397,1122911,422,18448,,33617,1254884,66428,132883,351399,49733,324203,90609,234203,,5426,330873,166833,158528,5513,,,114188,,43722,14990,25174,1297,,6646,,22359,216620,17425,1551,2115,481,39155,148465,7430,,,581994,45440,85680,,,24030,426844,,,Geneva
1994,5691318,167107,10622,156485,,,486824,245923,61231,47650,96575,13746,21700,,1467858,548491,74472,229917,138924,41164,385519,,49370,56868,8169,3073,282,45233,110,,1182683,1131068,191,21695,,29729,1182065,60187,153614,427939,18229,238584,102492,177823,,3197,362457,216343,144940,1174,,,95036,1518,42720,5655,22773,1952,,7849,,12569,86516,17133,1282,2076,908,60446,1351,3320,,,603905,45269,83613,,,23673,451350,,,Geneva
1995,5567430,179499,10384,169116,,,473248,237666,61740,48620,92767,13362,19094,,1465190,536760,68017,233613,142059,42399,399815,,42528,75911,9229,18551,840,46741,550,,1144404,1093091,460,38266,,12587,1135867,77863,167708,439244,17701,117864,102827,207188,,5472,326107,178409,146398,1301,,,76267,1532,37787,258,17953,1653,,7727,,9358,56223,19199,1203,1960,1351,28589,,3921,,,634713,68977,84747,,,22075,458914,,,Geneva
1996,5785870,201124,20228,180896,,,478960,239164,61588,48781,96749,14127,18551,,1479082,543305,67362,203855,148127,43869,428774,,43790,60441,10786,17771,271,31343,270,,1232396,1112111,60290,45742,,14253,1257407,168749,173010,342286,24223,229617,106275,206255,,6994,348134,206912,139048,2174,,,68464,1203,44820,1198,5319,1770,,8249,,5905,48684,21282,1275,2022,73,18646,1347,4039,,,611178,65096,89463,,,25583,431037,,,Geneva
1997,5948959,212148,12779,199369,,,477848,236658,58086,53016,98704,14779,16605,,1493027,550371,54611,212317,153732,42077,431253,,48666,65721,10193,19030,482,35374,642,,1222916,1101327,63465,44769,,13355,1383142,186941,192902,333523,24319,299556,105648,234393,,5860,286716,145716,138940,2061,,,68691,1262,47281,4796,984,852,,7834,,5683,50135,23153,1223,2013,329,16641,1179,5596,,,688614,149044,88592,,,20699,430279,,,Geneva
1998,6052148,318299,15105,303195,,,504710,258626,62122,50819,101952,15316,15876,,1499632,546976,53784,217947,154541,28484,445352,,52548,62836,10362,20284,390,31531,270,,1244805,1115485,65766,48817,,14738,1386409,185243,206243,360072,45664,205475,113792,266633,,3286,211490,69529,140265,1696,,,106500,3021,79934,5700,523,731,,8845,,7746,47564,25539,2405,2047,236,12954,1173,3209,,,669903,154570,88126,,,22662,404545,,,Geneva
